Data,Indice de vendas residenciais,Variacao mensal de vendas residenciais,Preco medio de vendas residenciais (RS/m2),Indice de alugueis residenciais,Variacao mensal de alugueis residenciais,Preco medio de alugueis residenciais (RS/m2),Rentabilidade dos alugueis residenciais,Indice de vendas comerciais,Variacao mensal de vendas comerciais,Preco medio de vendas comerciais (RS/m2),Indice de alugueis comerciais,Variacao mensal de alugueis comerciais,Preco medio de alugueis comerciais (RS/m2),Rentabilidade dos alugueis comerciais
2008-01,41.811068498625254,,2226.191928703509,70.8668233584297,,13.207832407260451,0.006443816867974957,,,,,,,
2008-02,42.065077010020694,0.006075149966660093,2239.716378524951,71.55287143379459,0.009680807504168746,13.335694890342461,0.006484195952947009,,,,,,,
2008-03,42.506114495884376,0.010484647056716714,2263.199014260933,74.22860250368524,0.03739515991844448,13.834385333390399,0.006655037527462186,,,,,,,
2008-04,43.090376888038406,0.013745372850077731,2294.307528545878,75.43447128828088,0.0162453386420116,14.059129608035404,0.0066876188515812935,,,,,,,
2008-05,43.66682236804259,0.013377591973770898,2324.9998385251156,77.13043734117352,0.022482639885037757,14.375215956109935,0.006753094383034838,,,,,,,
2008-06,44.31249165100063,0.014786266733953278,2359.377906293946,76.8190602358537,-0.004037019833590374,14.317182924182973,0.006650631036873439,,,,,,,
2008-07,44.908595389006244,0.013452273067839547,2391.1169021596397,78.0509304008757,0.016035996291022876,14.546773216453065,0.006674762714823748,,,,,,,
2008-08,45.375148677227436,0.010388953031815513,2415.9581033497566,78.50241943392432,0.0057845438962704585,14.63091966467273,0.006649181075804615,,,,,,,
2008-09,45.83785217110294,0.010197288766300395,2440.594325776897,80.14288781005675,0.02089704225629909,14.936662611153912,0.006728451264714934,,,,,,,
2008-10,46.36882490056597,0.011583717480501226,2468.865480931211,81.43005795277654,0.016060940376524266,15.176559458775913,0.006749952423528062,,,,,,,
2008-11,47.110517962658264,0.015995511287654945,2508.3562465991477,82.01299151332643,0.0071587025136091885,15.285203933121393,0.0066914507775270235,,,,,,,
2008-12,47.943203126129774,0.017675143460140572,2552.691803106927,82.04378303742895,3.7544690828071776E-4,15.290942715680522,0.006562619388238122,,,,,,,
2009-01,48.604826558414146,0.013800150785581845,2587.9193348989215,82.28393647689623,0.0029271375669954634,15.335701408538366,0.006495703505643753,,,,,,,
2009-02,49.245623076693576,0.01318380423617617,2622.037956789244,83.43120085265934,0.013942750248527987,15.549523263163616,0.006495625869483086,,,,,,,
2009-03,49.79738072934897,0.011204196803360681,2651.415786082993,84.10279476276077,0.008049673302527023,15.674691845442126,0.0064765588438680955,,,,,,,
2009-04,50.54291192053071,0.014971293274112831,2691.110909408054,84.4454799082854,0.004074598787011769,15.738559925822347,0.006399026955308357,,,,,,,
2009-05,51.2800256808521,0.014583919531196836,2730.357854360387,84.72331250860276,0.003290082555266465,15.79034108727931,0.00631844770211589,,,,,,,
2009-06,52.08869085515517,0.01576959378561751,2773.414488613021,85.41224109392972,0.008131511445058318,15.918740426551897,0.006261571637972698,,,,,,,
2009-07,53.01319251573822,0.017748606183131784,2822.6387301540058,85.57138517364878,0.0018632467393523782,15.948400967746268,0.006154391781102856,,,,,,,
2009-08,53.97870666468058,0.018212714668254127,2874.0466439578636,86.0912397816494,0.006075098666986577,16.04528907720599,0.006063983150074975,,,,,,,
2009-09,54.91186829109262,0.017287587718781573,2923.7319774231546,86.62185679203058,0.006163426287354725,16.14418303369265,0.005987013345106717,,,,,,,
2009-10,55.83941967532714,0.01689163769328505,2973.1185986980586,88.05003294323355,0.01648748022836611,16.41035993226378,0.005981315499353589,,,,,,,
2009-11,56.958097801393464,0.020033842267179032,3032.681587745992,88.92663703624814,0.00995574974491769,16.573737368973426,0.005922841899774148,,,,,,,
2009-12,58.075753360684054,0.019622417223056306,3092.190131165425,89.8040762087147,0.009867000504122422,16.737270443948276,0.0058606636377892575,,,,,,,
2010-01,59.06370174432123,0.017011374394085548,3144.792535184377,89.98496008446068,0.002014205628323449,16.77098274827925,0.005661985967684355,,,,,,,
2010-02,59.98932085012501,0.015671539007335974,3194.0762740694972,91.40133481557865,0.015740127347820678,17.03496015248527,0.005644790304360585,,,,,,,
2010-03,61.022838317375864,0.01722835752438263,3249.1049620793146,93.80700835376713,0.026319895032631963,17.48331851558375,0.005684311551451895,,,,,,,
2010-04,62.11594690207815,0.017913106221265764,3307.3065243890833,96.52912086332455,0.02901822110445878,17.990653317908638,0.0057349253762898934,,,,,,,
2010-05,63.229152524367905,0.017921414351851562,3366.578135001242,98.12516149657118,0.016534291610367687,18.28811602612797,0.0057280502920482885,,,,,,,
2010-06,64.58830213672732,0.021495616469564497,3438.944807406051,98.57272779616346,0.004561177711874893,18.371531373338524,0.00563819433554923,,,,,,,
2010-07,66.11145930697491,0.023582554732948482,3520.043911550293,99.10213849104122,0.0053707623468887775,18.470200502293135,0.005535614435059989,,,,,,,
2010-08,67.6177517458101,0.022784135377212432,3600.2450685647873,100.0,0.009059960992062247,18.63753979835948,0.005455542037196589,,,,,,,
2010-09,69.0281083071036,0.020857785490936503,3675.338207919713,101.65240380582526,0.016524038058252605,18.94550721529977,0.0054129013573077,,,,,,,
2010-10,70.45179064190228,0.020624675508486713,3751.140865842,102.74568881723772,0.010755131905201465,19.14926864441127,0.005334880686418609,,,,,,,
2010-11,72.15332949773283,0.024151818432540082,3841.7377389486974,104.69580213490912,0.01898000140074227,19.512721790105385,0.005289445807840359,,,,,,,
2010-12,73.67573515926473,0.021099589889053368,3922.7968297018147,106.4754222049292,0.01699800788313264,19.844399188914974,0.0052495612272810965,,,,,,,
2011-01,74.99460567553986,0.01790101603226788,3993.0188786416365,108.88170407748659,0.02259941142028156,20.292870930573567,0.005267291392217549,,,,,,,
2011-02,76.53879595222509,0.020590684660255362,4075.237871214192,110.53778592989917,0.015209918566612619,20.60152384491037,0.005228500272459023,,,,,,,
2011-03,78.37735380698903,0.024021253952199093,4173.130195034248,112.20721879386599,0.01510282524588961,20.912665059339083,0.005185947218457727,,,,,,,
2011-04,80.48244990813554,0.02685847376693139,4285.214102903564,114.48894722337646,0.020334952189682152,21.33792310347958,0.005153488900599115,,,,,,,
2011-05,82.54341892290805,0.025607682384481897,4394.948504600221,116.83153859646227,0.020461288446606496,21.774524502951383,0.005109533139053176,,,,,,,
2011-06,84.46153721932977,0.023237688981760683,4497.0769510409755,118.82837586190116,0.017091594353952744,22.146685843006033,0.005048320177165538,,,,,,,
2011-07,86.22322857171964,0.020857912493530823,4590.8765885624625,119.60332174104701,0.006521555760776007,22.291116689647588,0.00495788970021618,,,,,,,
2011-08,87.72210469754425,0.017383669698448585,4670.682870804373,120.47445818406717,0.007283547232126646,22.453475090913482,0.004896751942962193,,,,,,,
2011-09,89.35080014570002,0.018566534099601444,4757.401263593587,121.1039786760126,0.005225344039179039,22.57080222313864,0.004818130242072552,,,,,,,
2011-10,90.76218026695766,0.015795942721902486,4832.548901458417,122.2560698146297,0.009513239376711724,22.785523667611773,0.0047693008262559,,,,,,,
2011-11,92.06123911206664,0.014312776988037158,4901.716096168775,123.17940149550303,0.007552440400491566,22.957609977105403,0.004720723908374282,,,,,,,
2011-12,93.06831013152457,0.010939142566091317,4955.33666736327,124.8971952183897,0.013945462488299054,23.277764465862127,0.004721637882317499,,,,,,,
2012-01,94.12820412427153,0.011388344660487574,5011.769749239956,126.21832918424734,0.010577771290600798,23.52399133453849,0.004665030366780137,80.98857085628168,,7838.790617202943,96.69583661187056,,41.63815005986549,0.0057440804038969605
2012-02,95.49913989575398,0.014564558882611779,5084.763964858853,127.82102628160835,0.012697815822149624,23.822694643906303,0.004663278120603256,82.04246663907657,0.013012895173382855,7940.795977790702,98.46205337987519,0.018265696123961193,42.39869985602288,0.005768173879249309
2012-03,96.834951116299,0.013987678025196718,5155.88800603342,129.37608308974748,0.0121658920552954,24.11251897541033,0.004661250810372107,82.9483050563642,0.01104109194172114,8028.471036271939,99.84088475533984,0.014003682922851559,42.99243780514778,0.005792078109600458
2012-04,98.03927819219214,0.012436904877937685,5220.011294725758,131.06088306863393,0.013022499511889725,24.426524241998045,0.004665825438751121,83.90865248855842,0.011577661912942582,8121.421959607747,101.9116032995007,0.020740186239686677,43.88410897212469,0.005816073073489563
